Participant_ID,Dates,Minutes_Asleep
p11,2020-07-13,464.31398420221
p11,2020-07-14,513.6931959892538
p11,2020-07-15,455.7296843386732
p11,2020-07-16,479.04692989295626
p11,2020-07-17,498.7806606158403
p11,2020-07-18,506.183116336607
p11,2020-07-19,485.47147294312447
p11,2020-07-20,466.9266848430749
p11,2020-07-21,516.3058966300473
p11,2020-07-22,458.34238497953345
p11,2020-07-23,481.6596305336556
p11,2020-07-24,501.39336125668626
p11,2020-07-25,508.7958169773516
p11,2020-07-26,488.08417358392745
p11,2020-07-27,469.5393854838037
p11,2020-07-28,518.9185972708455
p11,2020-07-29,460.9550856203575
p11,2020-07-30,484.27233117453727
p11,2020-07-31,504.00606189753216
p11,2020-08-01,511.4085176180963
p11,2020-08-02,490.6968742247067
p11,2020-08-03,472.1520861246686
p11,2020-08-04,521.531297911639
p11,2020-08-05,463.5677862610961
p11,2020-08-06,486.8850318153279
p11,2020-08-07,506.6187625383781
p11,2020-08-08,514.0212182589687
p11,2020-08-09,493.30957486561834
p11,2020-08-10,474.76478676553353
p11,2020-08-11,524.1439985524324
p11,2020-08-12,466.1804869018775
p11,2020-08-13,489.49773245602154
p11,2020-08-14,509.23146317896703
p11,2020-08-15,516.6339188995856
p11,2020-08-16,495.92227550631276
p11,2020-08-17,477.3774874062622
p11,2020-08-18,526.7566991932448
p11,2020-08-19,468.79318754265876
p11,2020-08-20,492.110433096812
p11,2020-08-21,511.84416381969163
p11,2020-08-22,519.2466195404579
p11,2020-08-23,498.53497614711574
p11,2020-08-24,479.99018804702445
p11,2020-08-25,529.3693998340242
p11,2020-08-26,471.4058881834402
p11,2020-08-27,494.7231337376937
p11,2020-08-28,514.456864460659
p11,2020-08-29,521.8593201813125
p11,2020-08-30,501.1476767879187
p11,2020-08-31,482.6028886878213
p11,2020-09-01,531.9821004748317
p11,2020-09-02,474.0185888241787
p11,2020-09-03,497.33583437839303
p11,2020-09-04,517.0695651013834
p11,2020-09-05,524.4720208220572
p11,2020-09-06,503.7603774287217
p11,2020-09-07,485.2155893286862
p11,2020-09-08,534.5948011156111
p11,2020-09-09,476.63128946508164
p11,2020-09-10,499.9485350191778
p11,2020-09-11,519.6822657422294
p11,2020-09-12,527.0847214628018
p11,2020-09-13,506.37307806941607
p11,2020-09-14,487.82828996931227
p11,2020-09-15,537.2075017563905
p11,2020-09-16,479.24399010586296
p11,2020-09-17,502.56123565996836
p11,2020-09-18,522.2949663830753
p11,2020-09-19,529.6974221036742
p11,2020-09-20,508.9857787104126
p11,2020-09-21,490.44099061017715
p11,2020-09-22,539.8202023971979
p11,2020-09-23,481.8566907466443
p11,2020-09-24,505.1739363008501
p11,2020-09-25,524.9076670237857
p11,2020-09-26,532.3101227445464
p11,2020-09-27,511.59847935110696
p11,2020-09-28,493.053691250974
p11,2020-09-29,542.4329030379774
p11,2020-09-30,484.4693913873829
p11,2020-10-01,507.7866369415494
p11,2020-10-02,527.5203676645102
p11,2020-10-03,534.9228233851635
p11,2020-10-04,514.21117999191
p11,2020-10-05,495.6663918917709
p11,2020-10-06,545.0456036787896
p11,2020-10-07,487.082092028207
p11,2020-10-08,510.3993375824311
p11,2020-10-09,530.1330683054777
p11,2020-10-10,537.5355240260359
p11,2020-10-11,516.8238806327978
p11,2020-10-12,498.27909253256763
p11,2020-10-13,547.6583043195691
p11,2020-10-14,489.69479266906717
p11,2020-10-15,513.0120382232217
p11,2020-10-16,532.745768946202
p11,2020-10-17,540.1482246668903
p11,2020-10-18,519.4365812736008
p11,2020-10-19,500.8917931734326
p11,2020-10-20,550.2710049603766
p11,2020-10-21,492.30749330980564
